Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177	10	-15	15	177
11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192	11	-15	15	192
12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207	12	-15	15	207
13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222	13	-15	15	222
14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245	14	-122	23	245
15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260	15	-15	15	260
16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277	16	-17	17	277
17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293	17	-16	16	293
18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308	18	-15	15	308
19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325	19	-17	17	325
20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338	20	-13	13	338
21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351	21	-13	13	351
22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364	22	-13	13	364
23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391	23	-126	27	391
24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419	24	-226	28	419
25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434	25	-15	15	434
26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451	26	-17	17	451
27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466	27	-15	15	466
28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479	28	-13	13	479
29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492	29	-13	13	492
30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506	30	-113	14	506
31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519	31	-13	13	519
32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536	32	-17	17	536
33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551	33	-15	15	551
34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564	34	-13	13	564
35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581	35	-116	17	581
36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598	36	-17	17	598
37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623	37	-124	25	623
38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636	38	-13	13	636
39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670	39	-232	34	670
40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693	40	-122	23	693
41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706	41	-13	13	706
42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719	42	-13	13	719
43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732	43	-13	13	732
44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745	44	-13	13	745
45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758	45	-13	13	758
46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778	46	-119	20	778
47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791	47	-13	13	791
48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807	48	-16	16	807
49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820	49	-13	13	820
50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833	50	-13	13	833
51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857	51	-123	24	857
52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874	52	-17	17	874
53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887	53	-13	13	887
54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900	54	-13	13	900
