Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217	34	-53	53	5217
35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265	35	-48	48	5265
36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354	36	-188	89	5354
37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415	37	-61	61	5415
38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486	38	-71	71	5486
39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534	39	-48	48	5534
40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600	40	-66	66	5600
41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700	41	-199	100	5700
42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765	42	-65	65	5765
43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823	43	-58	58	5823
44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864	44	-41	41	5864
45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891	45	-27	27	5891
46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029	46	-336	138	6029
47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060	47	-31	31	6060
48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195	48	-333	135	6195
49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239	49	-44	44	6239
50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314	50	-273	75	6314
51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358	51	-44	44	6358
52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438	52	-278	80	6438
53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487	53	-49	49	6487
54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526	54	-39	39	6526
55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580	55	-54	54	6580
56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621	56	-41	41	6621
57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680	57	-59	59	6680
58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734	58	-54	54	6734
