Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860	10	-69	69	1860
11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015	11	-155	155	2015
12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081	12	-66	66	2081
13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165	13	-84	84	2165
14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273	14	-108	108	2273
15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364	15	-190	91	2364
16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436	16	-72	72	2436
17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557	17	-319	121	2557
18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666	18	-109	109	2666
19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741	19	-75	75	2741
20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883	20	-142	142	2883
21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989	21	-205	106	2989
22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108	22	-218	119	3108
23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299	23	-290	191	3299
24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454	24	-155	155	3454
