Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000
4	-334.0	334	2334	4	-334.0	334	2334	4	-334.0	334	2334	4	-334.0	334	2334
5	-500.0	500	2834	5	-500.0	500	2834	5	-500.0	500	2834	5	-500.0	500	2834
6	-328.0	328	3162	6	-328.0	328	3162	6	-328.0	328	3162	6	-328.0	328	3162
7	-437.0	437	3599	7	-437.0	437	3599	7	-437.0	437	3599	7	-437.0	437	3599
8	-426.0	426	4025	8	-426.0	426	4025	8	-426.0	426	4025	8	-426.0	426	4025
9	-158.0	158	4183	9	-158.0	158	4183	9	-158.0	158	4183	9	-158.0	158	4183
10	-225.0	225	4408	10	-225.0	225	4408	10	-225.0	225	4408	10	-225.0	225	4408
11	-324.0	324	4732	11	-324.0	324	4732	11	-324.0	324	4732	11	-324.0	324	4732
12	-170.0	170	4902	12	-170.0	170	4902	12	-170.0	170	4902	12	-170.0	170	4902
13	-166.0	166	5068	13	-166.0	166	5068	13	-166.0	166	5068	13	-166.0	166	5068
14	-169.0	169	5237	14	-169.0	169	5237	14	-169.0	169	5237	14	-169.0	169	5237
15	-461.0	461	5698	15	-461.0	461	5698	15	-461.0	461	5698	15	-461.0	461	5698
16	-172.0	172	5870	16	-172.0	172	5870	16	-172.0	172	5870	16	-172.0	172	5870
17	-168.0	168	6038	17	-168.0	168	6038	17	-168.0	168	6038	17	-168.0	168	6038
18	-182.0	182	6220	18	-182.0	182	6220	18	-182.0	182	6220	18	-182.0	182	6220
19	-168.0	168	6388	19	-168.0	168	6388	19	-168.0	168	6388	19	-168.0	168	6388
20	-182.0	182	6570	20	-182.0	182	6570	20	-182.0	182	6570	20	-182.0	182	6570
21	-263.0	263	6833	21	-263.0	263	6833	21	-263.0	263	6833	21	-263.0	263	6833
22	-182.0	182	7015	22	-182.0	182	7015	22	-182.0	182	7015	22	-182.0	182	7015
23	-171.0	171	7186	23	-171.0	171	7186	23	-171.0	171	7186	23	-171.0	171	7186
24	-156.0	156	7342	24	-156.0	156	7342	24	-156.0	156	7342	24	-156.0	156	7342
25	-186.0	186	7528	25	-186.0	186	7528	25	-186.0	186	7528	25	-186.0	186	7528
26	-152.0	152	7680	26	-152.0	152	7680	26	-152.0	152	7680	26	-152.0	152	7680
27	-259.0	259	7939	27	-259.0	259	7939	27	-259.0	259	7939	27	-259.0	259	7939
28	-172.0	172	8111	28	-172.0	172	8111	28	-172.0	172	8111	28	-172.0	172	8111
29	-148.0	148	8259	29	-148.0	148	8259	29	-148.0	148	8259	29	-148.0	148	8259
30	-110.0	110	8369	30	-110.0	110	8369	30	-110.0	110	8369	30	-110.0	110	8369
31	-157.0	157	8526	31	-157.0	157	8526	31	-157.0	157	8526	31	-157.0	157	8526
32	-144.0	144	8670	32	-144.0	144	8670	32	-144.0	144	8670	32	-144.0	144	8670
33	-177.0	177	8847	33	-177.0	177	8847	33	-177.0	177	8847	33	-177.0	177	8847
34	-198.0	198	9045	34	-198.0	198	9045	34	-198.0	198	9045	34	-198.0	198	9045
35	-144.0	144	9189	35	-144.0	144	9189	35	-144.0	144	9189	35	-144.0	144	9189
36	-137.0	137	9326	36	-137.0	137	9326	36	-137.0	137	9326	36	-137.0	137	9326
37	-181.0	181	9507	37	-181.0	181	9507	37	-181.0	181	9507	37	-181.0	181	9507
38	-129.0	129	9636	38	-129.0	129	9636	38	-129.0	129	9636	38	-129.0	129	9636
39	-145.0	145	9781	39	-145.0	145	9781	39	-145.0	145	9781	39	-145.0	145	9781
40	-139.0	139	9920	40	-139.0	139	9920	40	-139.0	139	9920	40	-139.0	139	9920
41	-190.0	190	10110	41	-190.0	190	10110	41	-190.0	190	10110	41	-190.0	190	10110
42	-139.0	139	10249	42	-139.0	139	10249	42	-139.0	139	10249	42	-139.0	139	10249
43	-196.0	196	10445	43	-196.0	196	10445	43	-196.0	196	10445	43	-196.0	196	10445
44	-212.0	212	10657	44	-212.0	212	10657	44	-212.0	212	10657	44	-212.0	212	10657
45	-140.0	140	10797	45	-140.0	140	10797	45	-140.0	140	10797	45	-140.0	140	10797
46	-170.0	170	10967	46	-170.0	170	10967	46	-170.0	170	10967	46	-170.0	170	10967
47	-139.0	139	11106	47	-139.0	139	11106	47	-139.0	139	11106	47	-139.0	139	11106
48	-182.0	182	11288	48	-182.0	182	11288	48	-182.0	182	11288	48	-182.0	182	11288
49	-116.0	116	11404	49	-116.0	116	11404	49	-116.0	116	11404	49	-116.0	116	11404
50	-215.0	215	11619	50	-215.0	215	11619	50	-215.0	215	11619	50	-215.0	215	11619
51	-139.0	139	11758	51	-139.0	139	11758	51	-139.0	139	11758	51	-139.0	139	11758
52	-136.0	136	11894	52	-136.0	136	11894	52	-136.0	136	11894	52	-136.0	136	11894
53	-156.0	156	12050	53	-156.0	156	12050	53	-156.0	156	12050	53	-156.0	156	12050
54	-117.0	117	12167	54	-117.0	117	12167	54	-117.0	117	12167	54	-117.0	117	12167
55	-116.0	116	12283	55	-116.0	116	12283	55	-116.0	116	12283	55	-116.0	116	12283
56	-153.0	153	12436	56	-153.0	153	12436	56	-153.0	153	12436	56	-153.0	153	12436
57	-137.0	137	12573	57	-137.0	137	12573	57	-137.0	137	12573	57	-137.0	137	12573
58	-116.0	116	12689	58	-116.0	116	12689	58	-116.0	116	12689	58	-116.0	116	12689
59	-239.0	239	12928	59	-239.0	239	12928	59	-239.0	239	12928	59	-239.0	239	12928
60	-124.0	124	13052	60	-124.0	124	13052	60	-124.0	124	13052	60	-124.0	124	13052
61	-115.0	115	13167	61	-115.0	115	13167	61	-115.0	115	13167	61	-115.0	115	13167
62	-186.0	186	13353	62	-186.0	186	13353	62	-186.0	186	13353	62	-186.0	186	13353
63	-158.0	158	13511	63	-158.0	158	13511	63	-158.0	158	13511	63	-158.0	158	13511
64	-179.0	179	13690	64	-179.0	179	13690	64	-179.0	179	13690	64	-179.0	179	13690
65	-153.0	153	13843	65	-153.0	153	13843	65	-153.0	153	13843	65	-153.0	153	13843
66	-118.0	118	13961	66	-118.0	118	13961	66	-118.0	118	13961	66	-118.0	118	13961
67	-124.0	124	14085	67	-124.0	124	14085	67	-124.0	124	14085	67	-124.0	124	14085
68	-119.0	119	14204	68	-119.0	119	14204	68	-119.0	119	14204	68	-119.0	119	14204
69	-123.0	123	14327	69	-123.0	123	14327	69	-123.0	123	14327	69	-123.0	123	14327
70	-119.0	119	14446	70	-119.0	119	14446	70	-119.0	119	14446	70	-119.0	119	14446
71	-145.0	145	14591	71	-145.0	145	14591	71	-145.0	145	14591	71	-145.0	145	14591
72	-142.0	142	14733	72	-142.0	142	14733	72	-142.0	142	14733	72	-142.0	142	14733
73	-139.0	139	14872	73	-139.0	139	14872	73	-139.0	139	14872	73	-139.0	139	14872
74	-200.0	200	15072	74	-200.0	200	15072	74	-200.0	200	15072	74	-200.0	200	15072
75	-147.0	147	15219	75	-147.0	147	15219	75	-147.0	147	15219	75	-147.0	147	15219
76	-138.0	138	15357	76	-138.0	138	15357	76	-138.0	138	15357	76	-138.0	138	15357
77	-155.0	155	15512	77	-155.0	155	15512	77	-155.0	155	15512	77	-155.0	155	15512
78	-142.0	142	15654	78	-142.0	142	15654	78	-142.0	142	15654	78	-142.0	142	15654
79	-242.0	242	15896	79	-242.0	242	15896	79	-242.0	242	15896	79	-242.0	242	15896
