Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004	10	-190	190	2004
11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129	11	-125	125	2129
12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253	12	-223	124	2253
13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322	13	-168	69	2322
14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469	14	-246	147	2469
15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554	15	-85	85	2554
16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714	16	-160	160	2714
17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817	17	-103	103	2817
18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979	18	-162	162	2979
19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044	19	-65	65	3044
20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157	20	-113	113	3157
21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307	21	-150	150	3307
22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477	22	-368	170	3477
23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736	23	-457	259	3736
24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852	24	-116	116	3852
25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163	25	-608	311	4163
26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246	26	-83	83	4246
