Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933	10	-105	105	2933
11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983	11	-50	50	2983
12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159	12	-176	176	3159
13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348	13	-288	189	3348
14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416	14	-68	68	3416
15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563	15	-246	147	3563
16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675	16	-112	112	3675
17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807	17	-132	132	3807
18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904	18	-196	97	3904
19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078	19	-372	174	4078
20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147	20	-69	69	4147
21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363	21	-414	216	4363
22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491	22	-227	128	4491
23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707	23	-216	216	4707
24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773	24	-66	66	4773
25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869	25	-96	96	4869
26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013	26	-243	144	5013
27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126	27	-113	113	5126
28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257	28	-131	131	5257
29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481	29	-323	224	5481
30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616	30	-135	135	5616
31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692	31	-76	76	5692
32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853	32	-260	161	5853
33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029	33	-275	176	6029
34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137	34	-108	108	6137
35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258	35	-121	121	6258
36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332	36	-74	74	6332
37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437	37	-204	105	6437
38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616	38	-377	179	6616
39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870	39	-650	254	6870
40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930	40	-60	60	6930
41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050	41	-219	120	7050
42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168	42	-217	118	7168
43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219	43	-51	51	7219
44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281	44	-62	62	7281
45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424	45	-143	143	7424
46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520	46	-96	96	7520
47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569	47	-49	49	7569
48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754	48	-284	185	7754
49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025	49	-568	271	8025
50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078	50	-53	53	8078
51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107	51	-29	29	8107
52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164	52	-57	57	8164
53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210	53	-46	46	8210
54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273	54	-261	63	8273
55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345	55	-72	72	8345
56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401	56	-56	56	8401
57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611	57	-507	210	8611
58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654	58	-43	43	8654
59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711	59	-57	57	8711
60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804	60	-93	93	8804
61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850	61	-46	46	8850
