Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-263.0	263	1263	2	-263.0	263	1263	2	-263.0	263	1263	2	-263.0	263	1263	2	-263.0	263	1263
3	-500.0	500	1763	3	-500.0	500	1763	3	-500.0	500	1763	3	-500.0	500	1763	3	-500.0	500	1763
4	-500.0	500	2263	4	-500.0	500	2263	4	-500.0	500	2263	4	-500.0	500	2263	4	-500.0	500	2263
5	-500.0	500	2763	5	-500.0	500	2763	5	-500.0	500	2763	5	-500.0	500	2763	5	-500.0	500	2763
6	-492.0	492	3255	6	-492.0	492	3255	6	-492.0	492	3255	6	-492.0	492	3255	6	-492.0	492	3255
7	-500.0	500	3755	7	-500.0	500	3755	7	-500.0	500	3755	7	-500.0	500	3755	7	-500.0	500	3755
8	-500.0	500	4255	8	-500.0	500	4255	8	-500.0	500	4255	8	-500.0	500	4255	8	-500.0	500	4255
9	-500.0	500	4755	9	-500.0	500	4755	9	-500.0	500	4755	9	-500.0	500	4755	9	-500.0	500	4755
10	-376.0	376	5131	10	-376.0	376	5131	10	-376.0	376	5131	10	-376.0	376	5131	10	-376.0	376	5131
11	-500.0	500	5631	11	-500.0	500	5631	11	-500.0	500	5631	11	-500.0	500	5631	11	-500.0	500	5631
12	-500.0	500	6131	12	-500.0	500	6131	12	-500.0	500	6131	12	-500.0	500	6131	12	-500.0	500	6131
13	-500.0	500	6631	13	-500.0	500	6631	13	-500.0	500	6631	13	-500.0	500	6631	13	-500.0	500	6631
14	-500.0	500	7131	14	-500.0	500	7131	14	-500.0	500	7131	14	-500.0	500	7131	14	-500.0	500	7131
15	-500.0	500	7631	15	-500.0	500	7631	15	-500.0	500	7631	15	-500.0	500	7631	15	-500.0	500	7631
16	-500.0	500	8131	16	-500.0	500	8131	16	-500.0	500	8131	16	-500.0	500	8131	16	-500.0	500	8131
17	-500.0	500	8631	17	-500.0	500	8631	17	-500.0	500	8631	17	-500.0	500	8631	17	-500.0	500	8631
18	-500.0	500	9131	18	-500.0	500	9131	18	-500.0	500	9131	18	-500.0	500	9131	18	-500.0	500	9131
19	-500.0	500	9631	19	-500.0	500	9631	19	-500.0	500	9631	19	-500.0	500	9631	19	-500.0	500	9631
20	-500.0	500	10131	20	-500.0	500	10131	20	-500.0	500	10131	20	-500.0	500	10131	20	-500.0	500	10131
21	-500.0	500	10631	21	-500.0	500	10631	21	-500.0	500	10631	21	-500.0	500	10631	21	-500.0	500	10631
22	-500.0	500	11131	22	-500.0	500	11131	22	-500.0	500	11131	22	-500.0	500	11131	22	-500.0	500	11131
23	-500.0	500	11631	23	-500.0	500	11631	23	-500.0	500	11631	23	-500.0	500	11631	23	-500.0	500	11631
