Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390	17	-88	88	3390
18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493	18	-202	103	3493
19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578	19	-85	85	3578
20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651	20	-73	73	3651
21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745	21	-94	94	3745
22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888	22	-242	143	3888
23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959	23	-71	71	3959
24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008	24	-49	49	4008
25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092	25	-282	84	4092
26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222	26	-229	130	4222
27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324	27	-201	102	4324
28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427	28	-103	103	4427
29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494	29	-67	67	4494
30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604	30	-209	110	4604
31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693	31	-89	89	4693
32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775	32	-82	82	4775
33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824	33	-49	49	4824
34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871	34	-47	47	4871
35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980	35	-109	109	4980
36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059	36	-79	79	5059
37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113	37	-54	54	5113
38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190	38	-77	77	5190
39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259	39	-69	69	5259
40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324	40	-65	65	5324
41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362	41	-38	38	5362
42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462	42	-100	100	5462
43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511	43	-148	49	5511
44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600	44	-89	89	5600
45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641	45	-41	41	5641
46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793	46	-350	152	5793
47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900	47	-206	107	5900
48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997	48	-97	97	5997
49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039	49	-42	42	6039
50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075	50	-36	36	6075
