Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964	11	-76	76	1964
12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011	12	-47	47	2011
13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058	13	-146	47	2058
14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160	14	-102	102	2160
15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201	15	-41	41	2201
16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321	16	-318	120	2321
17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374	17	-53	53	2374
18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440	18	-165	66	2440
19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509	19	-69	69	2509
20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560	20	-51	51	2560
21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645	21	-283	85	2645
22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702	22	-57	57	2702
23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780	23	-78	78	2780
