Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296
17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309	17	-13	13	309
18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326	18	-17	17	326
19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349	19	-122	23	349
20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362	20	-13	13	362
21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375	21	-13	13	375
22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392	22	-17	17	392
23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407	23	-15	15	407
24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442	24	-332	35	442
25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455	25	-13	13	455
26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470	26	-15	15	470
27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493	27	-122	23	493
28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510	28	-17	17	510
29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523	29	-13	13	523
30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542	30	-118	19	542
31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555	31	-13	13	555
32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582	32	-225	27	582
33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595	33	-13	13	595
34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619	34	-123	24	619
35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637	35	-18	18	637
36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655	36	-117	18	655
37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670	37	-15	15	670
38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689	38	-118	19	689
39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702	39	-13	13	702
40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716	40	-14	14	716
41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736	41	-119	20	736
42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751	42	-15	15	751
43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764	43	-13	13	764
44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777	44	-13	13	777
45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792	45	-15	15	792
46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805	46	-13	13	805
47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818	47	-13	13	818
48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841	48	-122	23	841
49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856	49	-15	15	856
50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872	50	-16	16	872
51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897	51	-124	25	897
52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912	52	-15	15	912
53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927	53	-15	15	927
54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943	54	-16	16	943
55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958	55	-15	15	958
56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971	56	-13	13	971
57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994	57	-122	23	994
58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007	58	-13	13	1007
59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022	59	-15	15	1022
60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035	60	-13	13	1035
61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050	61	-15	15	1050
62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065	62	-15	15	1065
63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082	63	-17	17	1082
64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099	64	-17	17	1099
65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112	65	-13	13	1112
66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127	66	-15	15	1127
67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142	67	-15	15	1142
68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156	68	-14	14	1156
69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172	69	-115	16	1172
70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185	70	-13	13	1185
