Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897	10	-207	108	1897
11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953	11	-56	56	1953
12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042	12	-89	89	2042
13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085	13	-43	43	2085
14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181	14	-195	96	2181
15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233	15	-52	52	2233
16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289	16	-56	56	2289
17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360	17	-71	71	2360
18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449	18	-89	89	2449
19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484	19	-35	35	2484
20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554	20	-70	70	2554
21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598	21	-143	44	2598
22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654	22	-56	56	2654
23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702	23	-48	48	2702
24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739	24	-37	37	2739
25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788	25	-49	49	2788
