Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297	25	-107	107	4297
26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383	26	-86	86	4383
27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437	27	-54	54	4437
28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482	28	-45	45	4482
29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582	29	-199	100	4582
30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672	30	-90	90	4672
31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787	31	-214	115	4787
32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820	32	-33	33	4820
33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923	33	-202	103	4923
34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008	34	-184	85	5008
35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076	35	-68	68	5076
36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128	36	-52	52	5128
37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212	37	-84	84	5212
38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305	38	-291	93	5305
39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348	39	-43	43	5348
40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430	40	-181	82	5430
41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498	41	-167	68	5498
42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564	42	-66	66	5564
43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613	43	-49	49	5613
44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641	44	-28	28	5641
45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709	45	-68	68	5709
46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830	46	-418	121	5830
47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910	47	-80	80	5910
48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947	48	-37	37	5947
49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994	49	-146	47	5994
50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044	50	-50	50	6044
51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099	51	-55	55	6099
52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172	52	-172	73	6172
53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228	53	-56	56	6228
54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288	54	-258	60	6288
55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331	55	-43	43	6331
56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401	56	-70	70	6401
57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437	57	-36	36	6437
58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509	58	-171	72	6509
59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584	59	-174	75	6584
60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662	60	-78	78	6662
61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708	61	-46	46	6708
62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731	62	-23	23	6731
63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781	63	-50	50	6781
64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857	64	-76	76	6857
65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884	65	-27	27	6884
66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934	66	-50	50	6934
67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002	67	-68	68	7002
68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061	68	-59	59	7061
69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091	69	-30	30	7091
70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159	70	-167	68	7159
71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196	71	-37	37	7196
72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277	72	-81	81	7277
73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324	73	-47	47	7324
74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368	74	-44	44	7368
75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417	75	-148	49	7417
76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456	76	-39	39	7456
77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517	77	-61	61	7517
78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576	78	-59	59	7576
79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613	79	-37	37	7613
80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649	80	-36	36	7649
81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716	81	-67	67	7716
82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810	82	-193	94	7810
