Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180	10	-122	23	180
11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195	11	-15	15	195
12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214	12	-118	19	214
13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234	13	-119	20	234
14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247	14	-13	13	247
15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283	15	-234	36	283
16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296	16	-13	13	296
17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313	17	-17	17	313
18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330	18	-17	17	330
19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359	19	-128	29	359
20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378	20	-118	19	378
21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394	21	-16	16	394
22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409	22	-15	15	409
23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424	23	-15	15	424
24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437	24	-13	13	437
25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450	25	-13	13	450
26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466	26	-16	16	466
27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479	27	-13	13	479
28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494	28	-15	15	494
29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524	29	-327	30	524
30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538	30	-14	14	538
31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551	31	-13	13	551
32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566	32	-15	15	566
33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584	33	-117	18	584
34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599	34	-15	15	599
35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619	35	-119	20	619
36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632	36	-13	13	632
37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645	37	-13	13	645
38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671	38	-224	26	671
39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686	39	-15	15	686
40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699	40	-13	13	699
41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724	41	-124	25	724
42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737	42	-13	13	737
43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750	43	-13	13	750
44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763	44	-13	13	763
45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776	45	-13	13	776
46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789	46	-13	13	789
47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804	47	-15	15	804
48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822	48	-216	18	822
49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837	49	-15	15	837
50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854	50	-17	17	854
51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867	51	-13	13	867
52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882	52	-15	15	882
53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919	53	-235	37	919
54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932	54	-13	13	932
55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945	55	-13	13	945
56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964	56	-118	19	964
57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977	57	-13	13	977
58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992	58	-15	15	992
59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007	59	-15	15	1007
60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026	60	-19	19	1026
61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039	61	-13	13	1039
62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061	62	-121	22	1061
63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077	63	-16	16	1077
64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090	64	-13	13	1090
65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103	65	-13	13	1103
66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131	66	-226	28	1131
67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144	67	-13	13	1144
68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159	68	-15	15	1159
69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182	69	-122	23	1182
70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201	70	-19	19	1201
71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215	71	-14	14	1215
72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233	72	-117	18	1233
73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246	73	-13	13	1246
74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261	74	-15	15	1261
75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280	75	-19	19	1280
76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295	76	-15	15	1295
77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313	77	-117	18	1313
78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333	78	-119	20	1333
79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351	79	-117	18	1351
80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364	80	-13	13	1364
81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379	81	-15	15	1379
82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392	82	-13	13	1392
83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405	83	-13	13	1405
