Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009	22	-215	116	4009
23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070	23	-61	61	4070
24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167	24	-97	97	4167
25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298	25	-131	131	4298
26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350	26	-52	52	4350
27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390	27	-40	40	4390
28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503	28	-113	113	4503
29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585	29	-82	82	4585
30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661	30	-76	76	4661
31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767	31	-106	106	4767
32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810	32	-43	43	4810
33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895	33	-85	85	4895
34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933	34	-38	38	4933
35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027	35	-94	94	5027
36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078	36	-51	51	5078
37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166	37	-88	88	5166
38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200	38	-34	34	5200
39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324	39	-124	124	5324
40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351	40	-27	27	5351
41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433	41	-181	82	5433
42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619	42	-483	186	5619
43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715	43	-96	96	5715
44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769	44	-54	54	5769
45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821	45	-52	52	5821
46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892	46	-71	71	5892
47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011	47	-119	119	6011
48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060	48	-148	49	6060
49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184	49	-223	124	6184
50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260	50	-76	76	6260
51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295	51	-35	35	6295
52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363	52	-167	68	6363
53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483	53	-417	120	6483
54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536	54	-53	53	6536
55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603	55	-67	67	6603
56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635	56	-32	32	6635
57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717	57	-181	82	6717
58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752	58	-35	35	6752
59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814	59	-62	62	6814
60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904	60	-189	90	6904
61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952	61	-48	48	6952
62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995	62	-142	43	6995
63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046	63	-51	51	7046
64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156	64	-209	110	7156
65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220	65	-64	64	7220
66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286	66	-66	66	7286
67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350	67	-64	64	7350
68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385	68	-35	35	7385
