Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500
3	-467.0	467	1967	3	-467.0	467	1967
4	-500.0	500	2467	4	-500.0	500	2467
5	-303.0	303	2770	5	-303.0	303	2770
6	-500.0	500	3270	6	-500.0	500	3270
7	-500.0	500	3770	7	-500.0	500	3770
8	-500.0	500	4270	8	-500.0	500	4270
9	-500.0	500	4770	9	-500.0	500	4770
10	-500.0	500	5270	10	-500.0	500	5270
11	-500.0	500	5770	11	-500.0	500	5770
12	-500.0	500	6270	12	-500.0	500	6270
13	-500.0	500	6770	13	-500.0	500	6770
14	-500.0	500	7270	14	-500.0	500	7270
15	-500.0	500	7770	15	-500.0	500	7770
16	-500.0	500	8270	16	-500.0	500	8270
17	-500.0	500	8770	17	-500.0	500	8770
18	-500.0	500	9270	18	-500.0	500	9270
19	-500.0	500	9770	19	-500.0	500	9770
20	-500.0	500	10270	20	-500.0	500	10270
21	-500.0	500	10770	21	-500.0	500	10770
22	-500.0	500	11270	22	-500.0	500	11270
23	-500.0	500	11770	23	-500.0	500	11770
24	-500.0	500	12270	24	-500.0	500	12270
25	-500.0	500	12770	25	-500.0	500	12770
26	-500.0	500	13270	26	-500.0	500	13270
27	-500.0	500	13770	27	-500.0	500	13770
28	-500.0	500	14270	28	-500.0	500	14270
29	-500.0	500	14770	29	-500.0	500	14770
30	-500.0	500	15270	30	-500.0	500	15270
31	-312.0	312	15582	31	-312.0	312	15582
32	-500.0	500	16082	32	-500.0	500	16082
33	-500.0	500	16582	33	-500.0	500	16582
34	-500.0	500	17082	34	-500.0	500	17082
35	-500.0	500	17582	35	-500.0	500	17582
36	-500.0	500	18082	36	-500.0	500	18082
37	-500.0	500	18582	37	-500.0	500	18582
38	-500.0	500	19082	38	-500.0	500	19082
39	-500.0	500	19582	39	-500.0	500	19582
40	-500.0	500	20082	40	-500.0	500	20082
41	-500.0	500	20582	41	-500.0	500	20582
42	-500.0	500	21082	42	-500.0	500	21082
43	-500.0	500	21582	43	-500.0	500	21582
44	-500.0	500	22082	44	-500.0	500	22082
45	-500.0	500	22582	45	-500.0	500	22582
46	-500.0	500	23082	46	-500.0	500	23082
47	-500.0	500	23582	47	-500.0	500	23582
